คำค้น,ชื่อหลักสูตร,มหาวิทยาลัย,คณะ,ประเภทหลักสูตร,ค่าใช้จ่าย,ลิงก์,วันที่เก็บข้อมูล
วิศวกรรมคอมพิวเตอร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),มหาวิทยาลัยเกษตรศาสตร์ กำแพงแสน,คณะวิศวกรรมศาสตร์ กำแพงแสน > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,"156,000",https://course.mytcas.com/programs/10020220300501A,2025-07-27 21:39:33
วิศวกรรมคอมพิวเตอร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์ (ภาษาไทย ปกติ),มหาวิทยาลัยเกษตรศาสตร์ ศรีราชา,คณะวิศวกรรมศาสตร์ ศรีราชา > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,"232,800",https://course.mytcas.com/programs/10020328300502A,2025-07-27 21:39:38
วิศวกรรมคอมพิวเตอร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),มหาวิทยาลัยเกษตรศาสตร์ เฉลิมพระเกียรติ จ.สกลนคร,คณะวิทยาศาสตร์และวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,ไม่พบข้อมูล,https://course.mytcas.com/programs/10020430300501A,2025-07-27 21:39:42
วิศวกรรมคอมพิวเตอร์,วิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์) วิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),มหาวิทยาลัยขอนแก่น ขอนแก่น,คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,ค่าธรรมเนียมการศึกษา (ชาวไทย) 20000 บาท/เทอม,https://course.mytcas.com/programs/10030104300501A,2025-07-27 21:39:46
วิศวกรรมคอมพิวเตอร์,วศ.บ.วิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),มหาวิทยาลัยเชียงใหม่ วิทยาเขตหลัก,คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,"184,000",https://course.mytcas.com/programs/10040106300501A,2025-07-27 21:39:51
วิศวกรรมคอมพิวเตอร์,วศ.บ.วิศวกรรมระบบสารสนเทศและเครือข่าย (นานาชาติ),มหาวิทยาลัยเชียงใหม่ วิทยาเขตหลัก,คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,นานาชาติ,"400,000",https://course.mytcas.com/programs/10040106300502E,2025-07-27 21:39:55
วิศวกรรมคอมพิวเตอร์,วศ.บ.สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),มหาวิทยาลัยธรรมศาสตร์ ศูนย์รังสิต,คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,"18,900 บาท ต่อภาคการศึกษา",https://course.mytcas.com/programs/10050210300501A,2025-07-27 21:40:00
วิศวกรรมคอมพิวเตอร์,วศ.บ.สาขาวิชาวิศวกรรมดิจิทัล และวิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ) (SIIT),มหาวิทยาลัยธรรมศาสตร์ ศูนย์รังสิต,สถาบันเทคโนโลยีนานาชาติสิรินธร > วิศวกรรมคอมพิวเตอร์,นานาชาติ,"101,200 บาท ต่อภาคการศึกษา",https://course.mytcas.com/programs/10050222300501E,2025-07-27 21:40:04
วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),มหาวิทยาลัยมหิดล ศาลายา,คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,"30,000 บาท ต่อภาคการศึกษา",https://course.mytcas.com/programs/10060112300501A,2025-07-27 21:40:08
วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),มหาวิทยาลัยศรีนครินทรวิโรฒ องครักษ์,คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,"200,000 บาท ตลอดหลักสูตร",https://course.mytcas.com/programs/10090209300501A,2025-07-27 21:40:13
วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),มหาวิทยาลัยสงขลานครินทร์ หาดใหญ่,คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,"อัตราค่าเล่าเรียน 18,000.-/ภาคการศึกษา",https://course.mytcas.com/programs/10100101300501A,2025-07-27 21:40:17
วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมปัญญาประดิษฐ์ (ภาษาไทย ปกติ),มหาวิทยาลัยสงขลานครินทร์ หาดใหญ่,คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,"อัตราค่าเล่าเรียน 28,000.-/ภาคการศึกษา",https://course.mytcas.com/programs/10100101300502A,2025-07-27 21:40:21
วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมดิจิทัล (หลักสูตรนานาชาติ),มหาวิทยาลัยสงขลานครินทร์ ภูเก็ต,วิทยาลัยการคอมพิวเตอร์ > วิศวกรรมคอมพิวเตอร์,นานาชาติ,"อัตราค่าเล่าเรียน 48,000 บาทต่อภาคการศึกษา (เรียน 8 ภาคการศึกษา) หรือตลอดหลักสูตร 384,000 บาท และต้องชำระค่าธรรมเนียมแรกเข้าอีก 15,000 บาท",https://course.mytcas.com/programs/10100329300501E,2025-07-27 21:40:26
