คำค้น,ชื่อหลักสูตร,มหาวิทยาลัย,คณะ,ประเภทหลักสูตร,ค่าใช้จ่าย,ลิงก์,วันที่เก็บข้อมูล
วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),มหาวิทยาลัยนเรศวร วิทยาเขตหลัก,คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,"อัตราค่าเล่าเรียน 16,000 ต่อภาคเรียน",https://course.mytcas.com/programs/10200120300501A,2025-07-27 21:41:15
วิศวกรรมคอมพิวเตอร์,วิศวกรรมศาสตรบัณฑิต สาขาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์ (ภาษาไทย ปกติ),มหาวิทยาลัยวลัยลักษณ์,วิศวกรรมศาสตร์และเทคโนโลยี > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,"อัตราค่าเล่าเรียน 32,700 ต่อภาคเรียน",https://course.mytcas.com/programs/10230125300501A,2025-07-27 21:41:19
วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์ (จัดการเรียนการสอนเป็นภาษาอังกฤษ) (ภาษาไทย ปกติ),มหาวิทยาลัยแม่ฟ้าหลวง,เทคโนโลยดิจิทัลประยุกต์ > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,"ค่าธรรมเนียมการศึกษา 28,000 ต่อภาคการศึกษา หรือ 224,000 บาท ตลอดหลักสูตร",https://course.mytcas.com/programs/10240113300501A,2025-07-27 21:41:24
วิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),มหาวิทยาลัยนราธิวาสราชนครินทร์,วิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,"112,000",https://course.mytcas.com/programs/10250105300501A,2025-07-27 21:41:28
วิศวกรรมคอมพิวเตอร์,วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),มหาวิทยาลัยนครพนม,คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,"อัตราค่าเล่าเรียน โดยประมาณ 72,200 บาท ตลอดหลักสูตร",https://course.mytcas.com/programs/10260106300502A,2025-07-27 21:41:33
วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),มหาวิทยาลัยพะเยา,คณะเทคโนโลยีสารสนเทศและการสื่อสาร > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,https://admission.up.ac.th/uploads/admission/media/file/66ed2582eb5b7LIYYa.pdf,https://course.mytcas.com/programs/10270102300501A,2025-07-27 21:41:37
วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),มหาวิทยาลัยกาฬสินธุ์ วิทยาเขตหลัก,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,"อัตราค่าเล่าเรียน 10,150 ต่อภาคเรียน",https://course.mytcas.com/programs/10280104300501A,2025-07-27 21:41:41
วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (วศ.บ. (วิศวกรรมคอมพิวเตอร์)) (ภาษาไทย ปกติ),มหาวิทยาลัยรามคำแหง,คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,"เทอมแรก 33,000 บาท เทอมต่อไปเทอมละ 26,000 บาท (เหมาจ่ายรายเทอม ลงทะเบียนได้ไม่เกิน 22 - 24 หน่วยกิต) หลักสูตร 4 ปี",https://course.mytcas.com/programs/10340101300501A,2025-07-27 21:41:46
วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ) (วศ.บ. (วิศวกรรมคอมพิวเตอร์)),มหาวิทยาลัยรามคำแหง,คณะวิศวกรรมศาสคร์ > วิศวกรรมคอมพิวเตอร์,นานาชาติ,"ตลอดหลักสูตร 403,260 บาท (63,260 บาทในภาคการศึกษาแรก)",https://course.mytcas.com/programs/10340101300506E,2025-07-27 21:41:50
วิศวกรรมคอมพิวเตอร์,วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),สถาบันเทคโนโลยีจิตรลดา,คณะเทคโนโลยีดิจิทัล > วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,"อัตราค่าเล่าเรียน 31,500 ต่อภาคเรียน หรือ 252,000 บาท ตลอดหลักสูตร",https://course.mytcas.com/programs/10350103300501A,2025-07-27 21:41:54
